transpotation,start,-,-,-,end,-,-,-,-,-,-,-,-,,
type,date,country,region,type,type,date,country,region,type,time(Min),price,currency,memo,,
Train,2022/6/20,AUS,Gold coast,Central,2022/6/20,AUS,Brisbane,Suberb,109,170,20,AUD,Woodly point jetty,,
Train,2022/6/20,AUS,Brisbane,Suberb,2022/6/20,AUS,Brisbane,Central,38.7,60,13,AUD,-,,
Bus,2022/6/20,AUS,Brisbane,Central,2022/6/20,AUS,Brisbane,Stop,7.5,30,1.5,AUD,-,,
Bus,2022/6/20,AUS,Brisbane,Stop,2022/6/20,AUS,Brisbane,Central,7.5,30,1.5,AUD,-,,
Train,2022/6/21,AUS,Brisbane,Station,2022/6/21,AUS,Coffs Harbour,Central,384,600,43.76,AUD,-,,
Train,2022/6/22,AUS,Coffs Harbour,Station,2022/6/22,AUS,Newcastle,Central,385,410,44.22,AUD,-,,
Bus,2022/6/23,AUS,Newcastle,Stop,2022/6/23,AUS,Port Stephens,Stop,66.1,120,3.2,AUD,-,,
Bus,2022/6/23,AUS,Port Stephens,Stop,2022/6/23,AUS,Newcastle,Stop,66.1,120,3.2,AUD,-,,
Train,2022/6/24,AUS,Newcastle,Station,2022/6/24,AUS,Sydney,Station,164,150,18,AUD,-,,
Bus,2022/6/24,AUS,Sydney,Station,2022/6/24,AUS,Sydney,Stop,8.2,46,3.2,AUD,Bondai beach,,
Bus,2022/6/24,AUS,Sydney,Stop,2022/6/24,AUS,Sydney,Stop,11.1,30,3.2,AUD,Watsonsbay,,
Bus,2022/6/24,AUS,Sydney,Stop,2022/6/24,AUS,Sydney,Stop,11.1,30,3.2,AUD,Bondai beach,,
Bus,2022/6/25,AUS,Sydney,Inn,2022/6/25,AUS,Sydney,Central,8.2,46,3.2,AUD,-,,
Subway,2022/6/25,AUS,Sydney,Central,2022/6/25,AUS,Sydney,AirPort,12,30,16,AUD,-,,
Subway,2022/6/25,AUS,Sydney,AirPort,2022/6/25,AUS,Sydney,Central,12,30,16,AUD,-,,
Boat,2022/6/25,AUS,Sydney,Port,2022/6/25,AUS,Manly,Port,10,22,3.2,AUD,-,,
Boat,2022/6/25,AUS,Manly,Port,2022/6/25,AUS,Sydney,Port,10,22,3.2,AUD,-,,
Bus,2022/6/25,AUS,Sydney,Central,2022/6/25,AUS,Sydney,Inn,8.2,46,3.2,AUD,Bondai beach,,
Bus,2022/6/26,AUS,Sydney,Inn,2022/6/26,AUS,Sydney,Stop,10.4,23,3.2,AUD,fish market,,
Bus,2022/6/26,AUS,Sydney,Stop,2022/6/26,AUS,Sydney,Central,4.2,15,3.2,AUD,-,,
Subway,2022/6/27,AUS,Sydney,Station,2022/6/27,AUS,Sydney,AirPort,12,30,16,AUD,-,,
AirPlane,2022/6/27,AUS,Sydney,AirPort,2022/6/27,JPN,Tokyo,AirPort,7821,590,40000,JPY,-,,
AirPlane,2022/6/27,JPN,Tokyo,AirPort,2022/6/27,JPN,Itami,AirPort,514,60,8780,JPY,-,,
Train,2022/6/27,JPN,Itami,AirPort,2022/6/27,JPN,Kobe,Station,92,70,2320,JPY,-,,
Train,2022/7/1,JPN,Kobe,Station,2022/7/1,JPN,Kobe,Port,40.6,100,1240,JPY,-,,
Ferry,2022/7/1,JPN,Kobe,Port,2022/7/2,JPN,Moji,Port,509,60,5950,JPY,-,,
Bus,2022/7/2,JPN,Moji,Port,2022/7/2,JPN,Moji,Station,8.1,20,340,JPY,-,,
Train,2022/7/2,JPN,Moji,Station,2022/7/2,JPN,Hakata,Station,79.8,134,1540,JPY,-,,
Train,2022/7/2,JPN,Hakata,Station,2022/7/2,JPN,Kokura,Station,74.8,83,1310,JPY,-,,
Train,2022/7/3,JPN,Kokura,Station,2022/7/3,JPN,Moji,Station,5.4,7,210,JPY,-,,
Bus,2022/7/3,JPN,Moji,Station,2022/7/3,JPN,Moji,Port,8.3,22,340,JPY,-,,
Ferry,2022/7/3,JPN,Moji,Port,2022/7/4,JPN,Kobe,Port,509,60,5950,JPY,-,,
Train,2022/7/4,JPN,Kobe,Station,2022/7/4,JPN,Kobe,Station,40.6,100,1240,JPY,-,,
Train,2022/7/8,JPN,Kobe,Station,2022/7/8,JPN,Toyoka,Station,114,180,2310,JPY,-,,
Train,2022/7/8,JPN,Toyoka,Station,2022/7/8,JPN,Kinosaki,Station,10,10,200,JPY,-,,
Train,2022/7/9,JPN,Kinosaki,Station,2022/7/9,JPN,Kasumi,Station,30,30,420,JPY,-,,
Train,2022/7/9,JPN,Kasumi,Station,2022/7/9,JPN,Kinosaki,Station,30,30,420,JPY,-,,
Train,2022/7/10,JPN,Kinosaki,Station,2022/7/10,JPN,Kobe,Station,125,190,2310,JPY,-,,
Train,2022/7/13,JPN,Kobe,Station,2022/7/13,JPN,Osaka,AirPort,92,120,2230,JPY,-,,
AirPlane,2022/7/13,JPN,Osaka,AirPort,2022/7/13,JPN,Tokyo,AirPort,537,60,9910,JPY,-,,
AirPlane,2022/7/13,JPN,Tokyo,AirPort,2022/7/13,USA,Seattle,AirPort,7697,550,90000,JPY,-,,
AirPlane,2022/7/13,USA,Seattle,AirPort,2022/7/13,USA,Anchorage,AirPort,2320,180,4250,JPY,-,,
Bus,2022/7/13,USA,Anchorage,AirPort,2022/7/13,USA,Anchorage,Inn,7.7,30,2,USD,-,,
Bus,2022/7/14,USA,Anchorage,Inn,2022/7/14,USA,Anchorage,Central,2,10,2,USD,-,,
Bus,2022/7/15,USA,Anchorage,Central,2022/7/15,USA,Anchorage,Stop,6.2,15,2,USD,-,,
Bus,2022/7/15,USA,Anchorage,Stop,2022/7/15,USA,Anchorage,Central,6.2,15,2,USD,-,,
Bus,2022/7/16,USA,Anchorage,Central,2022/7/16,USA,Anchorage,Stop,15.77,20,0,USD,to zoo,,
Bus,2022/7/16,USA,Anchorage,Stop,2022/7/16,USA,Anchorage,Central,15.77,20,0,USD,from zoo,,
AirPlane,2022/7/17,USA,Anchorage,AirPort,2022/7/17,CAN,Vancouver,AirPort,2131,180,28140,JPY,-,,
Subway,2022/7/17,CAN,Vancouver,AirPort,2022/7/17,CAN,Vancouver,Central,14.2,26,3.75,CAD,-,,
Bus,2022/7/18,CAN,Vancouver,Central,2022/7/18,CAN,Vancouver,Park,2.1,5,2.55,CAD,-,,
Bus,2022/7/18,CAN,Vancouver,Park,2022/7/18,CAN,Vancouver,Beach,4.3,30,2.55,CAD,-,,
Bus,2022/7/19,CAN,Vancouver,Beach,2022/7/19,CAN,Vancouver,Border,36,50,3.75,CAD,Point Roberts,,
Bus,2022/7/19,CAN,Vancouver,Border,2022/7/19,CAN,Vancouver,Central,36,50,3.75,CAD,-,,
Subway,2022/7/19,CAN,Vancouver,Central,2022/7/19,CAN,Richmond,Station,16,33,3.75,CAD,-,,
Bus,2022/7/19,CAN,Richmond,Station,2022/7/19,CAN,Richmond,Park,8.7,16,3.75,CAD,-,,
Bus,2022/7/19,CAN,Richmond,Park,2022/7/19,CAN,Vancouver,Beach,23,30,3.75,CAD,-,,
Bus,2022/7/20,CAN,Vancouver,Beach,2022/7/20,CAN,horse shoot bay,Port,27.1,90,4.8,CAD,-,,
Ferry,2022/7/20,CAN,horse shoot bay,Port,2022/7/20,CAN,Nanaimo,Port,70,100,17.2,CAD,-,,
Bus,2022/7/20,CAN,Nanaimo,Port,2022/7/20,CAN,Nanaimo,Central,5,13,2.5,CAD,-,,
Bus,2022/7/21,CAN,Nanaimo,Central,2022/7/21,CAN,Nanaimo,Stop,10,25,2.5,CAD,Neck Point Park,,
Bus,2022/7/21,CAN,Nanaimo,Stop,2022/7/21,CAN,Nanaimo,Port,5,13,2.5,CAD,-,,
Ferry,2022/7/21,CAN,Nanaimo,Port,2022/7/21,CAN,horse shoot bay,Port,70,100,17.2,CAD,-,,
Bus,2022/7/21,CAN,horse shoot bay,Port,2022/7/21,CAN,Vancouver,Park,26,60,4.8,CAD,-,,
Subway,2022/7/21,CAN,Vancouver,Park,2022/7/21,CAN,Vancouver,Beach,8.5,30,3.75,CAD,-,,
Bus,2022/7/22,CAN,Vancouver,Beach,2022/7/22,CAN,Vancouver,Museum,4.6,10,2.55,CAD,-,,
Subway,2022/7/22,CAN,Vancouver,Museum,2022/7/22,CAN,Vancouver,Station,5.6,10,2.55,CAD,-,,
Train,2022/7/22,CAN,Vancouver,Station,2022/7/23,CAN,Edomonton,Station,1158,1620,235.2,CAD,-,,
Bus,2022/7/23,CAN,Edomonton,Station,2022/7/23,CAN,Edomonton,Inn,8.4,30,3.5,CAD,-,,
Bus,2022/7/24,CAN,Edomonton,Inn,2022/7/24,CAN,Edomonton,Central,4,16,0,CAD,ticket,,
Bus,2022/7/24,CAN,Edomonton,Central,2022/7/24,CAN,Edomonton,Inn,4,16,0,CAD,ticket,,
Bus,2022/7/25,CAN,Edomonton,Inn,2022/7/25,CAN,Edomonton,Central,4,16,0,CAD,ticket,,
Bus,2022/7/25,CAN,Edomonton,Central,2022/7/25,CAN,Saskatoon,Stop,522,300,69.99,CAD,-,,
Bus,2022/7/26,CAN,Saskatoon,Stop,2022/7/26,CAN,Saskatoon,Central,3,20,0,CAD,ticket,,
Bus,2022/7/26,CAN,Saskatoon,Central,2022/7/26,CAN,Saskatoon,Stop,3,20,0,CAD,ticket,,
Bus,2022/7/27,CAN,Saskatoon,Stop,2022/7/27,CAN,Saskatoon,Central,3,20,0,CAD,ticket,,
Bus,2022/7/27,CAN,Saskatoon,Central,2022/7/27,CAN,Regina,Stop,261,180,60,CAD,-,,
Bus,2022/7/28,CAN,Regina,Stop,2022/7/28,CAN,Regina,Central,3,20,3,CAD,-,,
Bus,2022/7/28,CAN,Regina,Central,2022/7/28,CAN,Regina,Stop,3,20,3,CAD,-,,
Bus,2022/7/29,CAN,Regina,Stop,2022/7/29,CAN,Regina,Central,3,20,3,CAD,-,,
Bus,2022/7/29,CAN,Regina,Central,2022/7/30,CAN,Winnipeg,Central,572,540,120,CAD,-,,
Train,2022/7/31,CAN,Winnipeg,Central,2022/8/2,CAN,Toronto,Station,2102,2280,262.5,CAD,-,,
Subway,2022/8/2,CAN,Toronto,Station,2022/8/2,CAN,Toronto,Inn,4,15,3.35,CAD,-,,
Subway,2022/8/3,CAN,Toronto,Inn,2022/8/3,CAN,Toronto,Station,4,15,3.35,CAD,-,,
Train,2022/8/3,CAN,Toronto,Station,2022/8/3,CAN,Hamilton,Station,64,60,12,CAD,-,,
Bus,2022/8/3,CAN,Hamilton,Station,2022/8/3,CAN,Niagara Falls,Stop,64,60,14,CAD,-,,
Bus,2022/8/3,CAN,Niagara Falls,Stop,2022/8/3,CAN,Hamilton,Station,64,60,14,CAD,-,,
Train,2022/8/3,CAN,Hamilton,Station,2022/8/3,CAN,Toronto,Station,64,60,12,CAD,-,,
Subway,2022/8/3,CAN,Toronto,Station,2022/8/3,CAN,Toronto,Inn,4,15,3.35,CAD,-,,
Subway,2022/8/4,CAN,Toronto,Inn,2022/8/4,CAN,Toronto,Station,4,15,3.35,CAD,-,,
Subway,2022/8/4,CAN,Toronto,Station,2022/8/4,CAN,Toronto,Inn,4,15,3.35,CAD,-,,
Subway,2022/8/5,CAN,Toronto,Inn,2022/8/5,CAN,Toronto,Station,4,15,3.35,CAD,-,,
Train,2022/8/5,CAN,Toronto,Station,2022/8/5,CAN,Otawa,Station,402,250,101.7,CAD,-,,
Train,2022/8/5,CAN,Otawa,Station,2022/8/5,CAN,Montréal,Station,200,120,101.7,CAD,-,,
Train,2022/8/6,CAN,Montréal,Station,2022/8/6,CAN,Québec,Station,254,180,110.375,CAD,-,,
Ferry,2022/8/6,CAN,Québec,Port,2022/8/6,CAN,Levis,Port,2.4,5,3.75,CAD,-,,
Ferry,2022/8/6,CAN,Levis,Port,2022/8/6,CAN,Québec,Port,2.4,5,3.75,CAD,-,,
Train,2022/8/7,CAN,Québec,Station,2022/8/7,CAN,Montréal,Station,254,180,110.375,CAD,-,,
Bus,2022/8/8,CAN,Montréal,Central,2022/8/8,CAN,Montréal,AirPort,20,34,10,CAD,-,,
AirPlane,2022/8/8,CAN,Montréal,AirPort,2022/8/8,USA,Houston,AirPort,2974,225,23435,JPY,-,,
AirPlane,2022/8/8,USA,Houston,AirPort,2022/8/8,MEX,Mexico City,AirPort,1230,150,23435,JPY,-,,
UBER,2022/8/8,MEX,Mexico City,AirPort,2022/8/8,MEX,Mexico City,Inn,8.2,15,290.62,MXP,-,,
Subway,2022/8/9,MEX,Mexico City,Central,2022/8/9,MEX,Mexico City,Inn,2,10,5,MXP,-,,
UBER,2022/8/9,MEX,Mexico City,Inn,2022/8/9,MEX,Mexico City,Central,4,15,79.58,MXP,-,,
Bus,2022/8/10,MEX,Mexico City,Central,2022/8/10,MEX,Mexico City,Museum,6.4,45,6,MXP,-,,
Bus,2022/8/10,MEX,Mexico City,Museum,2022/8/10,MEX,Mexico City,Central,6.4,45,6,MXP,-,,
Bus,2022/8/11,MEX,Mexico City,Central,2022/8/11,MEX,Mexico City,Terminal,5.9,21,6,MXP,-,,
Bus,2022/8/11,MEX,Mexico City,Terminal,2022/8/11,MEX,Teotihuacan,Heritage,44.3,60,52,MXP,-,,
Bus,2022/8/11,MEX,Teotihuacan,Heritage,2022/8/11,MEX,Mexico City,Terminal,44.3,60,52,MXP,-,,
Bus,2022/8/11,MEX,Mexico City,Terminal,2022/8/11,MEX,Mexico City,Central,5.9,21,6,MXP,-,,
Bus,2022/8/12,MEX,Mexico City,Central,2022/8/12,MEX,Mexico City,Terminal,5.9,21,6,MXP,-,,
Bus,2022/8/12,MEX,Mexico City,Terminal,2022/8/12,MEX,Querétaro,Terminal,201,180,406,MXP,-,,
UBER,2022/8/12,MEX,Querétaro,Terminal,2022/8/12,MEX,Querétaro,Inn,5,30,103.18,MXP,-,,
UBER,2022/8/13,MEX,Querétaro,Inn,2022/8/13,MEX,Querétaro,Terminal,5,35,124.8,MXP,-,,
Bus,2022/8/13,MEX,Querétaro,Terminal,2022/8/13,MEX,Guanajuato,Terminal,146,180,297,MXP,-,,
UBER,2022/8/13,MEX,Guanajuato,Terminal,2022/8/13,MEX,Guanajuato,Central,8.5,15,84.98,MXP,-,,
UBER,2022/8/15,MEX,Guanajuato,Central,2022/8/15,MEX,Guanajuato,Terminal,8.5,10,69.9,MXP,-,,
Bus,2022/8/15,MEX,Guanajuato,Terminal,2022/8/15,MEX,Irapuato,Terminal,46.6,50,50,MXP,-,,
Bus,2022/8/15,MEX,Irapuato,Terminal,2022/8/15,MEX,Morelia,Terminal,136,150,400,MXP,-,,
UBER,2022/8/15,MEX,Morelia,Terminal,2022/8/15,MEX,Morelia,Central,2.5,20,114.97,MXP,-,,
UBER,2022/8/16,MEX,Morelia,Central,2022/8/16,MEX,Morelia,Terminal,2.5,20,59.01,MXP,-,,
Bus,2022/8/16,MEX,Morelia,Terminal,2022/8/16,MEX,Mexico City,Terminal,284,270,736,MXP,-,,
Bus,2022/8/16,MEX,Mexico City,Terminal,2022/8/16,MEX,Puebla,Terminal,133,180,396,MXP,-,,
UBER,2022/8/16,MEX,Puebla,Terminal,2022/8/16,MEX,Puebla,Central,10,14,139.91,MXP,-,,
Bus,2022/8/17,MEX,Puebla,Central,2022/8/17,MEX,Cholula,Central,13.4,30,10,MXP,-,,
Bus,2022/8/17,MEX,Cholula,Central,2022/8/17,MEX,Puebla,Central,13.4,30,10,MXP,-,,
UBER,2022/8/18,MEX,Puebla,Central,2022/8/18,MEX,Puebla,Terminal,10,20,59.93,MXP,-,,
Bus,2022/8/18,MEX,Puebla,Terminal,2022/8/18,MEX,Veracruz,Terminal,274,320,630,MXP,-,,
UBER,2022/8/18,MEX,Veracruz,Terminal,2022/8/18,MEX,Veracruz,Central,2,9,43.94,MXP,-,,
UBER,2022/8/20,MEX,Veracruz,Central,2022/8/20,MEX,Veracruz,Terminal,2,9,31.99,MXP,-,,
Bus,2022/8/20,MEX,Veracruz,Terminal,2022/8/20,MEX,Coatzacoalcos,Terminal,324,390,678,MXP,-,,
Bus,2022/8/21,MEX,Coatzacoalcos,Terminal,2022/8/21,MEX,Villahermosa,Terminal,166,165,326,MXP,-,,
Bus,2022/8/21,MEX,Villahermosa,Terminal,2022/8/21,MEX,Palenque,Terminal,152,160,120,MXP,-,,
Bus,2022/8/22,MEX,Palenque,Central,2022/8/22,MEX,Palenque,Heritage,8,15,0,MXP,Tour,,
Bus,2022/8/22,MEX,Palenque,Heritage,2022/8/22,MEX,Palenque,Suberb,40,40,0,MXP,Tour,,
Bus,2022/8/22,MEX,Palenque,Suberb,2022/8/22,MEX,Palenque,Central,30,30,0,MXP,Tour,,
Bus,2022/8/23,MEX,Palenque,Terminal,2022/8/23,MEX,Campeche,Terminal,366,360,664,MXP,-,,
Taxi,2022/8/23,MEX,Campeche,Terminal,2022/8/23,MEX,Campeche,Central,2.5,5,40,MXP,-,,
Taxi,2022/8/24,MEX,Campeche,Central,2022/8/24,MEX,Campeche,Terminal,2.5,5,40,MXP,-,,
Bus,2022/8/24,MEX,Campeche,Terminal,2022/8/24,MEX,Merida,Terminal,179,150,352,MXP,-,,
Bus,2022/8/25,MEX,Merida,Terminal,2022/8/25,MEX,Uxmal,Heritage,83.2,90,100,MXP,-,,
Bus,2022/8/25,MEX,Uxmal,Heritage,2022/8/25,MEX,Merida,Terminal,83.2,90,100,MXP,-,,
Bus,2022/8/26,MEX,Merida,Terminal,2022/8/26,MEX,Chichen Itza,Heritage,119,120,175,MXP,-,,
Bus,2022/8/26,MEX,Chichen Itza,Heritage,2022/8/26,MEX,Cancun,Terminal,197,210,400,MXP,-,,
Taxi,2022/8/26,MEX,Cancun,Terminal,2022/8/26,MEX,Cancun,Inn,3.2,5,120,MXP,-,,
Bus,2022/8/27,MEX,Cancun,Terminal,2022/8/27,MEX,Playa del Carmen,Terminal,68.2,80,250,MXP,-,,
Ferry,2022/8/28,MEX,Playa del Carmen,Port,2022/8/28,MEX,Cozumel,Port,33,35,230,MXP,-,,
Ferry,2022/8/28,MEX,Cozumel,Port,2022/8/28,MEX,Playa del Carmen,Port,33,35,230,MXP,-,,
Bus,2022/8/28,MEX,Playa del Carmen,Terminal,2022/8/28,MEX,Cancun,Terminal,68.2,80,250,MXP,-,,
Bus,2022/8/29,MEX,Cancun,Terminal,2022/8/29,MEX,Cancun,AirPort,15.7,30,120,MXP,-,,
AirPlane,2022/8/29,MEX,Cancun,AirPort,2022/8/29,CUB,Habana,AirPort,506,120,33910,JPY,-,,
Taxi,2022/8/29,CUB,Habana,AirPort,2022/8/29,CUB,Habana,Inn,10,10,25,USD,-,,
Taxi,2022/8/30,CUB,Habana,Inn,2022/8/30,CUB,Habana,Central,17,30,30,USD,-,,
Car,2022/8/30,CUB,Habana,Central,2022/8/30,CUB,Habana,Terminal,2.7,10,13,USD,-,,
Car,2022/8/30,CUB,Habana,Terminal,2022/8/30,CUB,Habana,Central,2.7,10,13,USD,-,,
Car,2022/8/31,CUB,Habana,Central,2022/8/31,CUB,Vinales,Suberb,184,150,0,USD,Tour,,
Car,2022/8/31,CUB,Vinales,Suberb,2022/8/31,CUB,Habana,Central,184,150,0,USD,Tour,,
Car,2022/9/1,CUB,Habana,Central,2022/9/1,CUB,Habana,Terminal,2.7,10,1250,CUP,-,,
Car,2022/9/1,CUB,Habana,Terminal,2022/9/1,CUB,Habana,AirPort,17,30,1250,CUP,-,,
AirPlane,2022/9/3,CUB,Habana,AirPort,2022/9/3,MEX,Cancun,AirPort,506,120,123670,JPY,-,,
Bus,2022/9/3,MEX,Cancun,AirPort,2022/9/3,MEX,Cancun,Terminal,15.7,30,120,MXP,-,,
Bus,2022/9/5,MEX,Cancun,Terminal,2022/9/5,MEX,Chetumal,Terminal,384,420,664,MXP,-,,
Taxi,2022/9/5,MEX,Chetumal,Terminal,2022/9/5,MEX,Chetumal,Inn,4,10,40,MXP,-,,
Taxi,2022/9/6,MEX,Chetumal,Inn,2022/9/6,MEX,Chetumal,Central,4,10,50,MXP,-,,
Bus,2022/9/6,MEX,Chetumal,Central,2022/9/6,BLZ,Belize city,Central,158,240,25,MXP,-,,
Taxi,2022/9/6,BLZ,Belize city,Central,2022/9/6,BLZ,Belize city,Inn,5,15,9,USD,-,,
Bus,2022/9/7,BLZ,Belize city,Inn,2022/9/7,BLZ,Belize city,Central,5,15,2,BZD,-,,
Bus,2022/9/7,BLZ,Belize city,Central,2022/9/7,BLZ,San Ignacio,Central,114,150,12,BZD,-,,
Bus,2022/9/8,BLZ,San Ignacio,Central,2022/9/8,BLZ,Xunantunich,Heritage,6.2,15,2.5,BZD,-,,
Bus,2022/9/8,BLZ,Xunantunich,Heritage,2022/9/8,BLZ,Belmopan,Central,46.6,60,6,BZD,-,,
Bus,2022/9/8,BLZ,Belmopan,Central,2022/9/8,BLZ,San Ignacio,Central,40,50,4,BZD,-,,
Taxi,2022/9/9,BLZ,San Ignacio,Central,2022/9/9,BLZ,San Jose Succotz,Border,14,25,7,BZD,-,,
Walking,2022/9/9,BLZ,San Jose Succotz,Border,2022/9/9,GTM,Melchor de Mencos,Border,0,5,0,BZD,Cross Border,,
Bus,2022/9/9,GTM,Melchor de Mencos,Border,2022/9/9,GTM,Flores,Central,92,120,10,USD,-,,
Tuktuk,2022/9/9,GTM,Flores,Central,2022/9/9,GTM,Flores,Inn,1,5,15,GTQ,-,,
Bus,2022/9/10,GTM,Flores,Inn,2022/9/10,GTM,Tikal,Heritage,65,60,45,GTQ,-,,
Bus,2022/9/10,GTM,Tikal,Heritage,2022/9/10,GTM,Flores,Inn,65,60,45,GTQ,-,,
Bus,2022/9/11,GTM,Flores,Inn,2022/9/11,GTM,Cobán,Central,258,300,350,GTQ,-,,
Bus,2022/9/11,GTM,Cobán,Central,2022/9/11,GTM,Cobán,Inn,4,10,30,GTQ,-,,
Bus,2022/9/12,GTM,Cobán,Inn,2022/9/12,GTM,Antigua,Central,249,450,225,GTQ,-,,
UBER,2022/9/13,GTM,Antigua,Central,2022/9/13,GTM,guatemala city,Stop,41,60,200,GTQ,-,,
Bus,2022/9/13,GTM,guatemala city,Stop,2022/9/13,SLV,Santa Ana,Stop,176,480,25,USD,-,,
Taxi,2022/9/13,SLV,Santa Ana,Stop,2022/9/13,SLV,Santa Ana,Central,2.6,10,3,USD,-,,
UBER,2022/9/14,SLV,Santa Ana,Central,2022/9/14,SLV,Santa Ana,Stop,2.6,10,2.56,USD,-,,
UBER,2022/9/14,SLV,Santa Ana,Stop,2022/9/14,SLV,Santa Ana,Central,2.6,10,2.76,USD,-,,
Bus,2022/9/16,SLV,Santa Ana,Central,2022/9/16,SLV,Santa Ana,Stop,40,80,1,USD,-,,
Bus,2022/9/16,SLV,Santa Ana,Stop,2022/9/16,SLV,Santa Ana,Central,40,80,1,USD,-,,
UBER,2022/9/17,SLV,Santa Ana,Central,2022/9/17,SLV,Santa Ana,Terminal,5.2,25,3.2,USD,-,,
Bus,2022/9/17,SLV,Santa Ana,Terminal,2022/9/17,SLV,san salvador,Terminal,62,75,1.35,USD,-,,
Bus,2022/9/17,SLV,san salvador,Terminal,2022/9/17,SLV,El Tunco,Stop,38,60,1,USD,-,,
Bus,2022/9/18,SLV,El Tunco,Inn,2022/9/18,SLV,El Amatillo,Border,240,270,20,USD,-,,
Walking,2022/9/18,SLV,El Amatillo,Border,2022/9/18,HND,El Amatillo,Border,0,30,0,USD,Cross Border,,
Bus,2022/9/18,HND,El Amatillo,Border,2022/9/18,HND,Guasaule,Border,131,160,20,USD,-,,
Walking,2022/9/18,HND,Guasaule,Border,2022/9/18,NIC,Guasaule,Border,0,30,0,USD,Cross Border,,
Bus,2022/9/18,NIC,Guasaule,Border,2022/9/18,NIC,Leon,Central,105,210,10,USD,-,,
BycleTaxi,2022/9/19,NIC,Leon,Terminal,2022/9/19,NIC,Leon,Central,1,10,20,NIO,-,,
BycleTaxi,2022/9/20,NIC,Leon,Central,2022/9/20,NIC,Leon,Terminal,1,10,50,NIO,-,,
Bus,2022/9/20,NIC,Leon,Terminal,2022/9/20,NIC,Managua,Terminal,97,100,78,NIO,-,,
Taxi,2022/9/20,NIC,Managua,Terminal,2022/9/20,NIC,Managua,Inn,5,10,120,NIO,-,,
Bus,2022/9/20,NIC,Managua,Inn,2022/9/20,NIC,Managua,Central,5,10,2.5,NIO,-,,
Bus,2022/9/21,NIC,Managua,Inn,2022/9/21,NIC,Managua,Terminal,2,5,5,NIO,-,,
Bus,2022/9/21,NIC,Managua,Terminal,2022/9/21,NIC,Guranada,Central,42.6,60,60,NIO,-,,
Bus,2022/9/22,NIC,Guranada,Central,2022/9/22,NIC,Rivas,Terminal,70,80,100,NIO,-,,
Taxi,2022/9/22,NIC,Rivas,Terminal,2022/9/22,NIC,San Jorge,Port,4.4,10,60,NIO,-,,
Boat,2022/9/22,NIC,San Jorge,Port,2022/9/22,NIC,Island Ometepe,Port,19.1,60,50,NIO,-,,
MotorCycle,2022/9/23,NIC,Island Ometepe,Suberb,2022/9/23,NIC,Island Ometepe,Suberb,95,420,0,USD,Rental Motorcycle,,
Boat,2022/9/24,NIC,Island Ometepe,Port,2022/9/24,NIC,San Jorge,Port,19.1,60,50,NIO,-,,
Taxi,2022/9/24,NIC,San Jorge,Port,2022/9/24,NIC,Rivas,Terminal,4.4,10,1,USD,-,,
Bus,2022/9/24,NIC,Rivas,Terminal,2022/9/24,NIC,Pedas Blancas,Border,35.7,60,30,NIO,-,,
Walking,2022/9/24,NIC,Pedas Blancas,Border,2022/9/24,CRI,Pedas Blancas,Border,0,5,0,NIO,Cross Border,,
Bus,2022/9/24,CRI,Pedas Blancas,Border,2022/9/24,CRI,Liberia,Central,77.1,120,12,USD,-,,
Bus,2022/9/25,CRI,Liberia,Central,2022/9/25,CRI,Puntarenas,Central,135,180,4000,CRC,-,,
Bus,2022/9/26,CRI,Puntarenas,Central,2022/9/26,CRI,San José,Terminal,95.4,240,3255,CRC,-,,
UBER,2022/9/26,CRI,San José,Terminal,2022/9/26,CRI,San José,Station,3.5,10,1960,CRC,-,,
Train,2022/9/26,CRI,San José,Station,2022/9/26,CRI,Alajuela,AirPort,19.3,90,1200,CRC,-,,
Taxi,2022/9/26,CRI,Alajuela,AirPort,2022/9/26,CRI,Alajuela,Inn,1.2,5,17000,CRC,-,,
Taxi,2022/9/26,CRI,Alajuela,Inn,2022/9/26,CRI,Alajuela,Central,3,15,20,USD,-,,
Bus,2022/9/27,CRI,Alajuela,Central,2022/9/27,CRI,San José,Central,19.3,50,760,CRC,-,,
Bus,2022/9/28,CRI,San José,Central,2022/9/28,CRI,PalmarNorte,Central,233,360,7370,CRC,-,,
Taxi,2022/9/29,CRI,PalmarNorte,Central,2022/9/29,CRI,PalmarNorte,Museum,8.6,14,2000,CRC,-,,
Bus,2022/9/29,CRI,PalmarNorte,Museum,2022/9/29,CRI,PalmarNorte,Central,8.6,20,400,CRC,-,,
Bus,2022/9/29,CRI,PalmarNorte,Central,2022/9/29,CRI,Pasokanoas,Border,93.4,115,2600,CRC,-,,
