transpotation,start,-,-,-,end,-,-,-,-,-,-,-,-,,
type,date,country,region,type,type,date,country,region,type,time(Min),price,currency,memo,,
Walking,2022/9/29,CRI,Pasokanoas,Border,2022/9/29,PAN,Pasokanoas,Border,0,120,0,CRC,-,,
Bus,2022/9/29,PAN,Pasokanoas,Border,2022/9/29,PAN,David,Central,53.6,60,2,USD,-,,
Bus,2022/10/1,PAN,David,Terminal,2022/10/1,PAN,Boquete,Central,45.7,60,2,USD,-,,
Bus,2022/10/2,PAN,Boquete,Central,2022/10/2,PAN,David,Terminal,45.7,60,1.75,USD,-,,
Bus,2022/10/2,PAN,David,Terminal,2022/10/2,PAN,Santiago de Veraguas,Terminal,196,180,9,USD,-,,
Bus,2022/10/3,PAN,Santiago de Veraguas,Terminal,2022/10/3,PAN,Sona,Terminal,51.2,90,2,USD,-,,
Bus,2022/10/3,PAN,Sona,Terminal,2022/10/3,PAN,Santa Catalina,Central,69.6,120,4.75,USD,-,,
Boat,2022/10/4,PAN,Santa Catalina,Central,2022/10/4,PAN,Coiba,Port,35,80,0,USD,Tour,,
Boat,2022/10/4,PAN,Coiba,Port,2022/10/4,PAN,Santa Catalina,Central,35,80,0,USD,Tour,,
Bus,2022/10/5,PAN,Santa Catalina,Central,2022/10/5,PAN,Sona,Terminal,69.6,120,4.75,USD,-,,
Bus,2022/10/5,PAN,Sona,Terminal,2022/10/5,PAN,Santiago de Veraguas,Terminal,51.2,90,2,USD,-,,
Bus,2022/10/5,PAN,Santiago de Veraguas,Terminal,2022/10/5,PAN,Santa Fe,Terminal,57.6,100,2.95,USD,-,,
Bus,2022/10/5,PAN,Santa Fe,Terminal,2022/10/5,PAN,Santiago de Veraguas,Terminal,57.6,100,2.95,USD,-,,
Bus,2022/10/6,PAN,Santiago de Veraguas,Terminal,2022/10/6,PAN,Panama City,Terminal,252,320,9,USD,-,,
Bus,2022/10/6,PAN,Panama City,Terminal,2022/10/6,PAN,Panama City,Inn,8,25,0.25,USD,-,,
Bus,2022/10/7,PAN,Panama City,Inn,2022/10/7,PAN,Panama City,Terminal,8,25,0.25,USD,-,,
Bus,2022/10/7,PAN,Panama City,Terminal,2022/10/7,PAN,Colin,Terminal,73,150,2.15,USD,-,,
Bus,2022/10/7,PAN,Colin,Terminal,2022/10/7,PAN,Colin,Suberb,12.4,40,1,USD,Gatun Gate,,
Bus,2022/10/7,PAN,Colin,Suberb,2022/10/7,PAN,Colin,Terminal,12.4,40,1,USD,-,,
Bus,2022/10/7,PAN,Colin,Terminal,2022/10/7,PAN,Panama City,Inn,73,120,3.15,USD,-,,
Bus,2022/10/8,PAN,Panama City,Inn,2022/10/8,PAN,Panama City,Suberb,13.8,60,0.25,USD,Miraflores Gate,,
Bus,2022/10/8,PAN,Panama City,Suberb,2022/10/8,PAN,Panama City,Suberb,16.6,60,0.25,USD,Amador,,
Bus,2022/10/9,PAN,Panama City,Inn,2022/10/9,PAN,Panama City,AirPort,20.3,60,1,USD,-,,
AirPlane,2022/10/9,PAN,Panama City,AirPort,2022/10/9,COL,Bogota,AirPort,760,115,28640,JPY,-,,
Car,2022/10/9,COL,Bogota,AirPort,2022/10/9,COL,Bogota,Inn,11.4,30,0,COP,Hotel service,,
UBER,2022/10/10,COL,Bogota,Inn,2022/10/10,COL,Bogota,Central,3.1,21,10000,COP,-,,
UBER,2022/10/11,COL,Bogota,Central,2022/10/11,COL,Bogota,Terminal,9,30,14900,COP,-,,
Taxi,2022/10/11,COL,Bogota,Terminal,2022/10/11,COL,Bogota,Terminal,1,5,8000,COP,-,,
Bus,2022/10/11,COL,Bogota,Terminal,2022/10/11,COL,tunha,Terminal,145,210,25000,COP,-,,
Bus,2022/10/11,COL,tunha,Terminal,2022/10/11,COL,Villa de Leyva,Terminal,38,60,5000,COP,-,,
Bus,2022/10/12,COL,Villa de Leyva,Terminal,2022/10/12,COL,Santa Sofia,Terminal,16.7,45,6000,COP,-,,
Bus,2022/10/12,COL,Santa Sofia,Terminal,2022/10/12,COL,Villa de Leyva,Museum,12.7,25,4000,COP,-,,
Bus,2022/10/12,COL,Villa de Leyva,Museum,2022/10/12,COL,Villa de Leyva,Terminal,4,20,2000,COP,-,,
Bus,2022/10/13,COL,Villa de Leyva,Terminal,2022/10/13,COL,Chiqinkira,Terminal,23.9,60,10000,COP,-,,
Bus,2022/10/13,COL,Chiqinkira,Terminal,2022/10/13,COL,Zipaquirá,Suberb,89,150,18000,COP,-,,
Bus,2022/10/13,COL,Zipaquirá,Suberb,2022/10/13,COL,Zipaquirá,Central,5,20,2000,COP,-,,
Bus,2022/10/14,COL,Zipaquirá,Central,2022/10/14,COL,Bogota,Terminal,36.3,90,7000,COP,-,,
